question,answer,question_arm,answer_arm
where george washington carver go to school?,George Washington Carver attended Iowa State Agricultural College (now known as Iowa State University) for his higher education.,որտե՞ղ է Ջորջ Վաշինգտոն Քարվերը դպրոց հաճախում:,Ջորջ Վաշինգտոն Քարվերը բարձրագույն կրթության համար հաճախել է Այովա նահանգի գյուղատնտեսական քոլեջ (այժմ հայտնի է որպես Այովա նահանգի համալսարան):
who plays steffy on bold and the beautiful?,Jacqueline MacInnes Wood.,ով է խաղում steffy համարձակ ու գեղեցիկ?,Ժակլին Մաքինես Վուդ.
where was the earthquake in christchurch?,The earthquake in Christchurch occurred in New Zealand.,որտեղ էր երկրաշարժը քրիստոնեական եկեղեցում.,Երկրաշարժը Քրայսթչերչում տեղի է ունեցել Նոր Զելանդիայում։
what timezone is reno nv?,"Reno, NV is in the Pacific Time Zone.",ո՞ր ժամային գոտին է reno nv:,"Reno, NV-ը գտնվում է Խաղաղ օվկիանոսի ժամային գոտում:"
who was niccolo machiavelli influenced by?,Niccolò Machiavelli was influenced by ancient Greek and Roman political thinkers such as Plato and Aristotle.,ում կողմից է ազդվել Նիկոլո Մաքիավելին:,"Նիկոլո Մաքիավելին կրել է հին հունական և հռոմեական քաղաքական մտածողների ազդեցությունը, ինչպիսիք են Պլատոնը և Արիստոտելը:"
what did cam newton do?,Cam Newton is a professional football player who has played as a quarterback in the NFL.,ինչ արեց կամեր Նյուտոնը,"Քեմ Նյուտոնը պրոֆեսիոնալ ֆուտբոլիստ է, ով խաղացել է NFL-ում որպես քառորդ պաշտպան։"
what is latin america spanish?,Latin America Spanish refers to the variety of Spanish language used in the countries of Latin America.,ինչ է Լատինական Ամերիկան ​​իսպաներեն?,Լատինական Ամերիկա Իսպաներենը վերաբերում է Լատինական Ամերիկայի երկրներում օգտագործվող իսպաներենի բազմազանությանը:
what continent does the bahamas belong to?,North America.,Ո՞ր մայրցամաքին են պատկանում Բահամյան կղզիները.,Հյուսիսային Ամերիկա.
where is baybrook mall?,"Baybrook Mall is located in Friendswood, Texas.",որտեղ է baybrook mall?,Baybrook Mall-ը գտնվում է Տեխաս նահանգի Ֆրինդսվուդ քաղաքում:
what state did obama win?,Barack Obama won the state of Illinois in the 2008 and 2012 presidential elections.,Ո՞ր նահանգն է հաղթել Օբաման.,Բարաք Օբաման հաղթել է Իլինոյս նահանգում 2008 և 2012 թվականների նախագահական ընտրություններում։
where did isaac newton go to high school?,Isaac Newton did not attend high school as we know it today.,որտե՞ղ է Իսահակ Նյուտոնը սովորել ավագ դպրոց:,"Իսահակ Նյուտոնը չի հաճախել միջնակարգ դպրոց, ինչպես գիտենք այսօր:"
what planet did princess leia call home?,Princess Leia called the planet Alderaan home.,Ո՞ր մոլորակն է արքայադուստր Լեան տուն անվանել:,Արքայադուստր Լեյան մոլորակն անվանել է Ալդերաան տուն:
where did english numbers originate from?,"English numbers originated from the Indo-Arabic system, which was developed in India and later adopted and spread by Arabic mathematicians during the Middle Ages.",որտեղի՞ց են առաջացել անգլերեն համարները:,"Անգլերեն թվերը ծագել են հնդ-արաբական համակարգից, որը մշակվել է Հնդկաստանում և հետագայում ընդունվել և տարածվել արաբ մաթեմատիկոսների կողմից միջնադարում։"
what kind of money do you use in costa rica?,Costa Rica uses the Costa Rican colón as its official currency.,ինչ փող եք օգտագործում Կոստա Ռիկայում:,Կոստա Ռիկան օգտագործում է Կոստա Ռիկայի կոլոնը որպես իր պաշտոնական արժույթ:
where is bob marley from where was he born?,"Bob Marley was born in Nine Mile, Jamaica.","որտեղ է Բոբ Մարլին, որտեղից է նա ծնվել:","Բոբ Մարլին ծնվել է Նայն Մայլում, Ջամայկա:"
what year did spudd webb won the dunk contest?,1986,Ո՞ր տարում spudd webb-ը հաղթեց դանկի մրցույթում:,1986 թ
what did randy jackson play in journey?,Randy Jackson played the bass guitar in Journey.,ի՞նչ էր խաղում Ռենդի Ջեքսոնը ճամփորդության ժամանակ:,Ռենդի Ջեքսոնը Journey-ում բաս կիթառ է նվագել։
where to stay in south rim grand canyon?,"There are several lodging options available at the South Rim of the Grand Canyon, including hotels, lodges, and campgrounds. Some popular options include El Tovar Hotel, Bright Angel Lodge, and Mather Campground.",որտեղ մնալ հարավային եզերքի Գրանդ կիրճում:,"Գրանդ Կանիոնի հարավային ծայրամասում կան կացարանների մի քանի տարբերակներ, ներառյալ հյուրանոցներ, օթյակներ և ճամբարներ: Որոշ հայտնի տարբերակներ ներառում են El Tovar հյուրանոցը, Bright Angel Lodge-ը և Mather Campground-ը:"
what beach did the canadians assault?,Juno Beach.,ո՞ր լողափն են հարձակվել կանադացիները:,Ջունո լողափ.
what discovery did sir isaac newton make about force?,Sir Isaac Newton discovered that force is the interaction between two objects that causes a change in their motion or shape. He formulated the laws of motion and the concept of gravity.,Ի՞նչ բացահայտում արեց սըր Իսահակ Նյուտոնը ուժի մասին:,"Սըր Իսահակ Նյուտոնը հայտնաբերեց, որ ուժը երկու առարկաների փոխազդեցությունն է, որն առաջացնում է նրանց շարժման կամ ձևի փոփոխություն: Նա ձևակերպեց շարժման օրենքները և ձգողականության հայեցակարգը։"
what currency can you use in aruba?,You can use the Aruban florin in Aruba.,ինչ արժույթ կարող եք օգտագործել Արուբայում:,Դուք կարող եք օգտագործել Արուբանի ֆլորինը Արուբայում:
where does roman abramovich live?,"Roman Abramovich lives primarily in London, England.",որտեղ է ապրում Ռոման Աբրամովիչը,"Ռոման Աբրամովիչն ապրում է հիմնականում Լոնդոնում, Անգլիա:"
who is nolan ryan married to?,Nolan Ryan is married to Ruth Ryan.,ում հետ է ամուսնացած Նոլան Ռայանը,Նոլան Ռայանն ամուսնացած է Ռութ Ռայանի հետ։
where to travel in africa in january?,"In January, you can consider traveling to countries in Africa such as South Africa, Kenya, Tanzania, or Morocco.",որտեղ ճանապարհորդել Աֆրիկայում հունվարին:,"Հունվարին կարող եք մտածել Աֆրիկայի երկրներ մեկնելու մասին, ինչպիսիք են Հարավային Աֆրիկան, Քենիան, Տանզանիան կամ Մարոկկոն:"
where did walt disney live before he died?,"Walt Disney lived in Los Angeles, California, at the time of his death.",որտեղ է ապրել Ուոլթ Դիսնեյը մինչև մահը:,Ուոլթ Դիսնեյն իր մահվան պահին ապրում էր Կալիֆորնիայի Լոս Անջելես քաղաքում:
what did neil say on the moon?,"""That's one small step for man, one giant leap for mankind.""",ինչ ասաց Նիլը լուսնի վրա.,"«Դա մեկ փոքր քայլ է մարդու համար, մեկ հսկա թռիչք մարդկության համար»:"
who played carlton banks?,Alfonso Ribeiro.,ով խաղաց Carlton Banks?,Ալֆոնսո Ռիբեյրո.
who does matt damon have kids with?,Matt Damon has three children with his wife Luciana Barroso.,ում հետ է Մեթ Դեյմոնը երեխաներ ունենում:,Մեթ Դեյմոնը երեք երեխա ունի կնոջ՝ Լուսիանա Բարոզոյից։
who is the current leader of cuba today?,Miguel Díaz-Canel.,ով է այսօր Կուբայի ներկայիս առաջնորդը:,Միգել Դիազ-Կանել.
what books did emily dickinson wrote?,"Emily Dickinson wrote several books of poetry. Some of her notable works include ""The Complete Poems of Emily Dickinson"" and ""The Manuscript Books of Emily Dickinson.""",Ի՞նչ գրքեր է գրել Էմիլի Դիկինսոնը:,Էմիլի Դիկինսոնը գրել է մի քանի բանաստեղծական գրքեր։ Նրա նշանավոր գործերից են «Էմիլի Դիկինսոնի ամբողջական բանաստեղծությունները» և «Էմիլի Դիկինսոնի ձեռագիր գրքերը»։
what did anasazi indians live in?,The Anasazi Indians lived in cliff dwellings and pueblo villages.,ինչում էին ապրում անասազի հնդկացիները:,Անասազի հնդկացիներն ապրում էին ժայռային կացարաններում և պեբլո գյուղերում:
what part of italy did most immigrants come from?,Southern Italy.,Իտալիայի ո՞ր մասից են եկել ներգաղթյալների մեծ մասը:,Հարավային Իտալիա.
what hotel should i stay in san francisco?,"It depends on your preferences and budget. Some popular hotels in San Francisco include The Fairmont, The Ritz-Carlton, Hotel Nikko, and Hotel Union Square.",ո՞ր հյուրանոցում պետք է մնամ Սան Ֆրանցիսկոյում:,"Դա կախված է ձեր նախասիրություններից և բյուջեից: Սան Ֆրանցիսկոյի որոշ հայտնի հյուրանոցներից են The Fairmont-ը, The Ritz-Carlton-ը, Hotel Nikko-ն և Hotel Union Square-ը:"
what events led to napoleon's downfall?,"The major events that led to Napoleon's downfall were the disastrous Russian campaign, the formation of the Sixth Coalition against France, and his defeat at the Battle of Waterloo.",Ո՞ր իրադարձությունները հանգեցրին Նապոլեոնի անկմանը:,"Հիմնական իրադարձությունները, որոնք հանգեցրին Նապոլեոնի կործանմանը, էին ռուսական աղետալի արշավը, Ֆրանսիայի դեմ վեցերորդ կոալիցիայի ստեղծումը և նրա պարտությունը Վաթերլոյի ճակատամարտում։"
in which state did the santa fe trail begin?,Missouri,Ո՞ր նահանգում է սկսվել Սանտա Ֆե արահետը:,Միսսուրի
where is whitey bulger?,Whitey Bulger was killed in prison in 2018.,որտեղ է whitey bulger?,Ուայթի Բալգերը սպանվել է բանտում 2018թ.
who created youtube?,"YouTube was created by Steve Chen, Chad Hurley, and Jawed Karim.",ով է ստեղծել youtube-ը,"YouTube-ը ստեղծվել է Սթիվ Չենի, Չադ Հերլիի և Ջավեդ Կարիմի կողմից։"
what to do in hong kong for a week?,"In Hong Kong, you can visit popular attractions such as Victoria Peak, Hong Kong Disneyland, Ocean Park, take a Star Ferry ride in Victoria Harbour, explore the street markets in Mong Kok, visit the Big Buddha on Lantau Island, and indulge in local cuisine.",ինչ անել Հոնկոնգում մեկ շաբաթ.,"Հոնկոնգում դուք կարող եք այցելել այնպիսի հայտնի տեսարժան վայրեր, ինչպիսիք են Վիկտորիա Պիկը, Հոնկոնգ Դիսնեյլենդը, Օվկիանոս պարկը, զբոսնել «Աստղային լաստանավով» Վիկտորիա նավահանգստում, ուսումնասիրել Մոն Կոկի փողոցային շուկաները, այցելել Մեծ Բուդդա Լանտաու կղզում և վայելել տեղական վայրերը: խոհանոց."
what currency does greece use 2012?,The currency that Greece used in 2012 was the Euro.,ի՞նչ արժույթ է օգտագործում Հունաստանը 2012 թ.,2012 թվականին Հունաստանի արժույթը եվրոն էր։
what influenced andy warhol's work?,"Andy Warhol's work was influenced by popular culture, consumerism, celebrity culture, and mass media.",ի՞նչն է ազդել Էնդի Ուորհոլի աշխատանքի վրա:,"Էնդի Ուորհոլի աշխատանքի վրա ազդել են ժողովրդական մշակույթը, սպառողականությունը, հայտնի մարդկանց մշակույթը և զանգվածային լրատվամիջոցները։"
what is fresno state's zip code?,93740,ինչ է Ֆրեզնո նահանգի փոստային կոդը:,93740
who is angelina jolie husband name?,Brad Pitt.,ով է Անջելինա Ջոլիի ամուսնու անունը:,Բրեդ Փիթ.
what kourtney kardashian baby girls name?,The name of Kourtney Kardashian's baby girl is Penelope.,ինչ են անվանում Քորթնի Քարդաշյան փոքրիկ աղջիկներին:,Քորթնի Քարդաշյանի փոքրիկ աղջկա անունը Պենելոպա է։
what is the present form of government in iran?,The present form of government in Iran is an Islamic Republic.,ինչպիսի՞ն է կառավարման ներկա ձևն Իրանում:,Իրանում գործող կառավարման ձևը Իսլամական Հանրապետությունն է:
which hmv stores are open?,"I'm sorry, I don't have access to real-time store information. It would be best to check the official HMV website or contact the nearest HMV store for up-to-date information on store openings.",Ո՞ր hmv խանութներն են բաց,"Ցավում եմ, ես հասանելի չեմ խանութի իրական ժամանակի տեղեկատվությանը: Լավագույն կլինի ստուգել HMV-ի պաշտոնական կայքը կամ կապվել մոտակա HMV խանութի հետ՝ խանութների բացման վերաբերյալ արդի տեղեկությունների համար:"
what were marco polo's goals?,"Marco Polo's goals were to explore and document new trade routes, gather valuable information about cultures and societies, and establish diplomatic relations with distant lands.",որո՞նք էին Մարկո Պոլոյի նպատակները:,"Մարկո Պոլոյի նպատակներն էին ուսումնասիրել և փաստագրել նոր առևտրային ուղիներ, հավաքել արժեքավոր տեղեկություններ մշակույթների և հասարակությունների մասին և դիվանագիտական ​​հարաբերություններ հաստատել հեռավոր երկրների հետ:"
who did marco polo travel with?,"Marco Polo traveled with his father, Niccolò Polo, and his uncle, Maffeo Polo.",ո՞ւմ հետ է ճամփորդել Մարկո Պոլոն:,Մարկո Պոլոն ճանապարհորդել է իր հոր՝ Նիկոլո Պոլոյի և հորեղբոր՝ Մաֆֆեո Պոլոյի հետ։
what does icelandic sound like?,"Icelandic sounds like a unique and melodic language, with guttural and trilled sounds.",ինչ է հնչում իսլանդերենը:,Իսլանդերենը հնչում է որպես եզակի և մեղեդիական լեզու՝ աղիքային և տրիլլային հնչյուններով:
where does bill richardson live?,"Bill Richardson currently resides in Santa Fe, New Mexico.",որտեղ է ապրում Բիլ Ռիչարդսոնը,"Բիլ Ռիչարդսոնը ներկայումս բնակվում է Սանտա Ֆեում, Նյու Մեքսիկո:"
who are the judges on the us supreme court?,There are currently nine judges on the US Supreme Court.,ովքեր են ԱՄՆ Գերագույն դատարանի դատավորները.,Ներկայումս ԱՄՆ Գերագույն դատարանում կա ինը դատավոր:
what to do in dubuque this weekend?,"There are several activities you can do in Dubuque this weekend. Some options include visiting the National Mississippi River Museum and Aquarium, exploring the Dubuque Arboretum and Botanical Gardens, taking a ride on the Fenelon Place Elevator, and checking out the various shops and restaurants in the downtown area.",ինչ անել dubuque-ում այս շաբաթավերջին:,"Կան մի քանի գործողություններ, որոնք դուք կարող եք անել Dubuque-ում այս շաբաթավերջին: Որոշ տարբերակներ ներառում են այցելել Միսիսիպի գետի ազգային թանգարան և ակվարիում, ուսումնասիրել Dubuque Arboretum-ը և բուսաբանական այգիները, զբոսնել Fenelon Place վերելակով և ստուգել քաղաքի կենտրոնում գտնվող տարբեր խանութներն ու ռեստորանները:"
what club did aguero play for before man city?,Atlético Madrid.,ո՞ր ակումբում է խաղացել Ագուերոն «Մանչեսթեր Սիթիից» առաջ:,Ատլետիկո Մադրիդ.
who plays jay adams in lords of dogtown?,Emile Hirsch.,Ո՞վ է խաղում Ջեյ Ադամս Դոգթաունի լորդերում:,Էմիլ Հիրշ.
what system of government is used in the united states of america?,The United States of America uses a system of government called a federal republic.,Ինչպիսի՞ կառավարման համակարգ է օգտագործվում Ամերիկայի Միացյալ նահանգներում:,"Ամերիկայի Միացյալ Նահանգները օգտագործում է կառավարման համակարգ, որը կոչվում է դաշնային հանրապետություն:"
what did the habsburg family control?,The Habsburg family controlled the Holy Roman Empire and later the Austrian Empire.,ի՞նչ էր վերահսկում հաբսբուրգների ընտանիքը:,"Հաբսբուրգների ընտանիքը վերահսկում էր Սուրբ Հռոմեական կայսրությունը, իսկ ավելի ուշ՝ Ավստրիական կայսրությունը։"
what is beyonce's daughters name?,Beyonce's daughter's name is Blue Ivy Carter.,ինչ է Բեյոնսեի դուստրերի անունը,Բեյոնսեի դստեր անունը Բլյու Այվի Քարթեր է։
when did the colts last win the superbowl?,The Colts last won the Super Bowl in 2006.,Ե՞րբ են վերջին անգամ քուռակները հաղթել սուպերգավաթը:,The Colts-ը վերջին անգամ հաղթել է Super Bowl-ը 2006 թվականին:
what college did michael jordan play basketball for?,The University of North Carolina at Chapel Hill.,ո՞ր քոլեջում է Մայքլ Ջորդանը բասկետբոլ խաղացել:,Հյուսիսային Կարոլինայի համալսարան Չապել Հիլլում:
what songs has madonna written?,"Madonna has written numerous songs throughout her career including ""Like a Prayer,"" ""Vogue,"" ""Material Girl,"" ""Holiday,"" and ""Music,"" among others.",ինչ երգեր է գրել Մադոննան,"Մադոննան իր կարիերայի ընթացքում գրել է բազմաթիվ երգեր, այդ թվում՝ «Like a Prayer», «Vogue», «Material Girl», «Holiday» և «Music» և այլն:"
what countries are located in the netherlands?,"The Netherlands is a country itself, not a region or area within another country. It does, however, consist of twelve provinces, including North Holland, South Holland, North Brabant, Gelderland, Utrecht, and others.",ո՞ր երկրներն են գտնվում Նիդեռլանդներում:,"Նիդեռլանդները ինքնին երկիր է, այլ ոչ թե տարածաշրջան կամ տարածք մեկ այլ երկրի ներսում: Այնուամենայնիվ, այն բաղկացած է տասներկու գավառներից, ներառյալ Հյուսիսային Հոլանդիան, Հարավային Հոլանդիան, Հյուսիսային Բրաբանտը, Գելդերլանդը, Ուտրեխտը և այլն:"
who was andrew johnson and what did he do?,"Andrew Johnson was the 17th President of the United States. He served from 1865 to 1869. Johnson is best known for taking office after the assassination of Abraham Lincoln and his role in the Reconstruction era, which aimed to rebuild the South after the Civil War.",ով էր Էնդրյու Ջոնսոնը և ինչ արեց:,"Էնդրյու Ջոնսոնը Միացյալ Նահանգների 17-րդ նախագահն էր։ Նա ծառայել է 1865-ից 1869 թվականներին: Ջոնսոնն առավել հայտնի է Աբրահամ Լինքոլնի սպանությունից հետո իր պաշտոնը ստանձնելու և Վերակառուցման դարաշրջանում նրա դերով, որը նպատակ ուներ վերակառուցել Հարավը Քաղաքացիական պատերազմից հետո:"
what are the best hotels to stay in san francisco?,"Some of the best hotels to stay in San Francisco are The Ritz-Carlton, Four Seasons Hotel, Fairmont San Francisco, and Hotel Drisco.",Որո՞նք են Սան Ֆրանցիսկոյում մնալու լավագույն հյուրանոցները:,"Սան Ֆրանցիսկոյում մնալու լավագույն հյուրանոցներից են The Ritz-Carlton, Four Seasons Hotel, Fairmont San Francisco և Hotel Drisco:"
who was lincoln's vice president when he died?,Andrew Johnson.,"ով էր Լինքոլնի փոխնախագահը, երբ նա մահացավ:",Էնդրյու Ջոնսոն.
where did pope benedict xvi live?,Pope Benedict XVI lived in Vatican City.,որտեղ է ապրել Բենեդիկտոս XVI Պապը.,Հռոմի Պապ Բենեդիկտոս XVI-ն ապրում էր Վատիկանում։
what race did dan wheldon died in?,Dan Wheldon died in the IndyCar race.,Ո՞ր մրցավազքում է մահացել Դեն Ուելդոնը:,Դեն Ուելդոնը մահացել է IndyCar մրցարշավում։
what language brazil use?,The official language of Brazil is Portuguese.,ինչ լեզու է օգտագործում Բրազիլիան,Բրազիլիայի պաշտոնական լեզուն պորտուգալերենն է։
where is tommy emmanuel from?,Australia.,որտեղից է Թոմի Էմանուելը,Ավստրալիա.
with which country does south africa border?,"South Africa borders with Namibia, Botswana, Zimbabwe, Mozambique, and Eswatini.",Ո՞ր երկրի հետ է սահմանակից Հարավային Աֆրիկան:,"Հարավային Աֆրիկան ​​սահմանակից է Նամիբիային, Բոտսվանային, Զիմբաբվեին, Մոզամբիկին և Էսվատինիին։"
what is there to do around austin texas?,"Visit the Texas State Capitol, explore the Barton Creek Greenbelt, enjoy live music on 6th Street, and check out the Lady Bird Lake.",ինչ կարելի է անել Օսթին Տեխասի շուրջը:,"Այցելեք Տեխաս նահանգի Կապիտոլիում, ուսումնասիրեք Barton Creek Greenbelt-ը, վայելեք կենդանի երաժշտություն 6-րդ փողոցում և ստուգեք Lady Bird Lake-ը:"
what countries in the world speak german?,"Germany, Austria, Switzerland, Liechtenstein, Luxembourg, and parts of Belgium and Italy.",աշխարհի ո՞ր երկրներն են խոսում գերմաներեն:,"Գերմանիան, Ավստրիան, Շվեյցարիան, Լիխտենշտեյնը, Լյուքսեմբուրգը և Բելգիայի և Իտալիայի մի մասը:"
who plays effy in skins uk?,Kaya Scodelario.,ով է խաղում effy in skins uk?,Կայա Սկոդելարիո.
what countries use the euro as official currency?,19 countries currently use the euro as their official currency.,ո՞ր երկրներն են եվրոն օգտագործում որպես պաշտոնական արժույթ:,19 երկրներ ներկայումս օգտագործում են եվրոն որպես իրենց պաշտոնական արժույթ։
what kind of money do the netherlands use?,The Netherlands uses the Euro as its currency.,ինչ փողեր են օգտագործում Նիդեռլանդները,Նիդեռլանդները որպես արժույթ օգտագործում է եվրոն։
which college did obama graduated?,Barack Obama graduated from Columbia University and Harvard Law School.,Ո՞ր քոլեջն է ավարտել Օբաման,Բարաք Օբաման ավարտել է Կոլումբիայի համալսարանը և Հարվարդի իրավաբանական դպրոցը։
who is henry david thoreau?,"Henry David Thoreau was an American writer, philosopher, and naturalist.",ով է Հենրի Դեյվիդ Թորոն:,"Հենրի Դեյվիդ Թորոն ամերիկացի գրող, փիլիսոփա և բնագետ էր:"
who are richard pryor children?,"Richard Pryor had seven children: Richard Pryor Jr., Elizabeth Ann Pryor, Rain Pryor, Kelsey Pryor, Steven Pryor, Renee Pryor, and Franklin Pryor.",ովքեր են Ռիչարդ Պրայորի երեխաները,"Ռիչարդ Փրայորն ուներ յոթ երեխա՝ Ռիչարդ Պրայոր կրտսերը, Էլիզաբեթ Էն Փրայորը, Ռեյն Փրայորը, Քելսի Փրայորը, Սթիվեն Պրայորը, Ռենե Փրայորը և Ֆրանկլին Փրայորը:"
who is golfer dustin johnson dating?,"As of my knowledge cutoff date, Dustin Johnson is dating Paulina Gretzky.",ո՞վ է հանդիպում գոլֆիստ Դասթին Ջոնսոնի հետ:,Իմ գիտելիքների ավարտի օրվա դրությամբ Դասթին Ջոնսոնը հանդիպում է Պաուլինա Գրեցկիի հետ:
what are the official languages in spain?,"The official languages in Spain are Spanish (Castilian), Catalan, Galician, and Basque.",Որո՞նք են Իսպանիայում պաշտոնական լեզուները:,"Իսպանիայում պաշտոնական լեզուներն են իսպաներենը (կաստիլերեն), կատալոներենը, գալիցերենը և բասկերենը։"
what club did santi cazorla play for?,Santi Cazorla played for Villarreal Club de Fútbol.,ո՞ր ակումբում է խաղացել Սանտի Կասորլան,Սանտի Կասորլան խաղացել է «Վիլյառեալ» ակումբի կազմում:
what highschool did bill gates graduated from?,Bill Gates graduated from Lakeside School in 1973.,ո՞ր միջնակարգ դպրոցն է ավարտել Բիլ Գեյթսը:,Բիլ Գեյթսն ավարտել է Լեյքսայդի դպրոցը 1973 թվականին։
where does the atlanta braves play?,The Atlanta Braves play at Truist Park.,որտեղ են խաղում ատլանտայի բեյվսը:,Atlanta Braves-ը խաղում է Truist Park-ում:
what year did detroit pistons win nba championships?,"The Detroit Pistons won NBA championships in 1989, 1990, and 2004.",Ո՞ր տարում են Detroit Pistons-ը հաղթել nba առաջնություններում:,"Դետրոյթ Փիստոնսը NBA-ի չեմպիոն է դարձել 1989, 1990 և 2004 թվականներին:"
what each fold of the us flag means?,Each fold of the US flag represents a specific symbolic meaning.,ի՞նչ է նշանակում ԱՄՆ դրոշի յուրաքանչյուր ծալք։,ԱՄՆ դրոշի յուրաքանչյուր ծալք ներկայացնում է որոշակի խորհրդանշական նշանակություն:
what do people from spain speak?,Spanish.,ինչ են խոսում իսպանացիները,իսպաներեն.
who played danielle rousseau on lost?,Mira Furlan.,ո՞վ խաղաց Դանիել Ռուսոյի պարտության վրա:,Միրա Ֆուրլան.
when will muharram start 2011?,"Muharram started in 2011 on Thursday, December 1st.",Ե՞րբ է սկսվելու մուհարամը 2011թ.,"Մուհարամը սկսվել է 2011թ., հինգշաբթի, դեկտեմբերի 1-ին։"
who did king tut married?,"King Tutankhamun married his half-sister, Ankhesenamun.",ում հետ ամուսնացավ թագավորը,Թութանհամոն թագավորն ամուսնացավ իր խորթ քրոջ՝ Անխեսենամունի հետ։
how old was woodrow wilson when he was elected president?,Woodrow Wilson was 56 years old when he was elected president.,"քանի՞ տարեկան էր Վուդրո Վիլսոնը, երբ ընտրվեց նախագահ:","Վուդրո Վիլսոնը 56 տարեկան էր, երբ ընտրվեց նախագահ։"
what political party did john bell belong to?,John Bell belonged to the Constitutional Union Party.,ո՞ր քաղաքական կուսակցությանն էր պատկանում Ջոն Բելը,Ջոն Բելը պատկանում էր Սահմանադրական միություն կուսակցությանը։
what countries are part of nato?,There are 30 countries that are currently part of NATO.,ո՞ր երկրներն են ՆԱՏՕ-ի անդամ.,Ներկայում ՆԱՏՕ-ի կազմում 30 երկիր կա։
what religion is mary queen of scots?,Mary Queen of Scots was a Roman Catholic.,ի՞նչ կրոն է Մարիամ Շոտլանդիայի թագուհին:,Շոտլանդիայի թագուհի Մարիամը հռոմեական կաթոլիկ էր:
who is chris cooley married to?,Christy Oglevee,ո՞ւմ հետ է ամուսնացած Քրիս Քուլին,Քրիստի Օգլվի
where is port st johns florida?,"Port St. Johns is in Volusia County, Florida.",որտեղ է Պորտ Սենտ Ջոնս Ֆլորիդան:,Պորտ Սենտ Ջոնսը գտնվում է Ֆլորիդայի Վոլուսիա շրջանում։
what teams does kroenke own?,"Kroenke owns several sports teams, including the Los Angeles Rams (NFL), Denver Nuggets (NBA), Colorado Avalanche (NHL), and Arsenal (English Premier League).",ինչ թիմեր է պատկանում croenke-ին:,"Քրոենկեին են պատկանում մի քանի սպորտային թիմեր, այդ թվում՝ Լոս Անջելես Ռեմսը (NFL), Դենվեր Նագեթսը (NBA), Կոլորադո Ավալանշը (NHL) և Արսենալը (Անգլիայի Պրեմիեր լիգա):"
where was the battle of shiloh?,"The Battle of Shiloh took place in southwestern Tennessee, near the town of Pittsburg Landing.",որտեղ էր Սիլոյի ճակատամարտը.,Շիլոյի ճակատամարտը տեղի է ունեցել Թենեսիի հարավ-արևմուտքում՝ Պիտսբուրգ Լենդինգ քաղաքի մոտ։
what did theodor schwann contribute to our understanding of cells?,"Theodor Schwann contributed to our understanding of cells by proposing the cell theory, which stated that all living organisms are composed of cells.",Թեոդոր Շվանն ի՞նչն է նպաստել բջիջների մեր ըմբռնմանը:,"Թեոդոր Շվանը նպաստեց բջիջների մեր ըմբռնմանը` առաջարկելով բջիջների տեսությունը, որն ասում էր, որ բոլոր կենդանի օրգանիզմները կազմված են բջիջներից:"
where is kate spade from?,"Kate Spade is from Kansas City, Missouri.",որտեղից է Քեյթ Սփեյդը,Քեյթ Սփեյդը Միսսուրի նահանգի Կանզաս Սիթի քաղաքից է:
what countries are in the caribbean?,"The countries in the Caribbean can vary depending on the specific definition used, but some common examples include Cuba, Jamaica, Haiti, the Dominican Republic, Barbados, and the Bahamas.",որ երկրներն են Կարիբյան ավազանում:,"Կարիբյան ավազանի երկրները կարող են տարբեր լինել՝ կախված օգտագործվող կոնկրետ սահմանումից, սակայն որոշ ընդհանուր օրինակներ ներառում են Կուբան, Ջամայկան, Հայիթին, Դոմինիկյան Հանրապետությունը, Բարբադոսը և Բահամյան կղզիները:"
what freeview channel is bbc three?,BBC Three is no longer available on Freeview as it has transitioned to an online-only platform.,ինչ freeview ալիք է bbc three?,"BBC Three-ն այլևս հասանելի չէ Freeview-ում, քանի որ այն անցել է միայն առցանց հարթակի:"
when did the new york mets start playing baseball?,The New York Mets started playing baseball in 1962.,Ե՞րբ են նյույորքցիները սկսել բեյսբոլ խաղալ:,New York Mets-ը սկսել է բեյսբոլ խաղալ 1962 թվականին։
what party was woodrow wilson from?,Woodrow Wilson was from the Democratic Party.,Ո՞ր կուսակցությունից էր Վուդրո Վիլսոնը:,Վուդրո Վիլսոնը Դեմոկրատական ​​կուսակցությունից էր։
what part does seth macfarlane play in family guy?,"Seth MacFarlane plays multiple roles in Family Guy, including the voices of Peter Griffin, Stewie Griffin, Brian Griffin, and various other characters.",ի՞նչ դեր է խաղում Սեթ Մակֆարլեյնը ընտանեկան տղայի մեջ:,"Սեթ Մաքֆարլեյնը խաղում է բազմաթիվ դերեր Family Guy-ում, այդ թվում՝ Փիթեր Գրիֆինի, Սթիվի Գրիֆինի, Բրայան Գրիֆինի և այլ կերպարների ձայները։"
what type of government does vietnam have today?,Vietnam has a socialist single-party government.,ինչպիսի՞ կառավարություն ունի այսօր Վիետնամը:,Վիետնամն ունի սոցիալիստական ​​միակուսակցական կառավարություն։
what did ben hall do?,Ben Hall was an Australian bushranger.,ինչ արեց Բեն Հոլը,Բեն Հոլը ավստրալիացի բուշրենջեր էր:
what type of aircraft does virgin america use?,Airbus A320 and A321.,ինչ տեսակի ինքնաթիռ է օգտագործում կույս Ամերիկան:,Airbus A320 և A321.
what currency do mexico use?,Mexican Peso.,ինչ արժույթ է օգտագործում Մեքսիկան,Մեքսիկական պեսո.
